stage,host,kind,training_seed,condition,env_seed,policy_seed,success,policy_steps,reason,source_summary
primary,H2,rgb,1,front,920005,1020005,False,2000,max_steps,withheld-source-3cd5beda34d057879741
primary,H2,depth,1,front,920001,1020001,True,486,dwell_complete,withheld-source-bfea810a81736d71c05f
primary,H2,depth,1,front,920002,1020002,True,399,dwell_complete,withheld-source-bfea810a81736d71c05f
primary,H2,depth,1,front,920003,1020003,True,324,dwell_complete,withheld-source-bfea810a81736d71c05f
primary,H2,depth,1,front,920004,1020004,True,378,dwell_complete,withheld-source-bfea810a81736d71c05f
primary,H2,depth,1,front,920005,1020005,True,1521,dwell_complete,withheld-source-bfea810a81736d71c05f
primary,H2,rgb,2,front,930001,1030001,True,1335,dwell_complete,withheld-source-0077259c71d9881819e5
primary,H2,rgb,2,front,930002,1030002,True,1120,dwell_complete,withheld-source-0077259c71d9881819e5
primary,H2,depth,2,front,930001,1030001,True,590,dwell_complete,withheld-source-15ca951f979c7bd39346
primary,H2,depth,2,front,930002,1030002,True,652,dwell_complete,withheld-source-15ca951f979c7bd39346
primary,H2,rgb,0,head,910001,1010001,True,438,dwell_complete,withheld-source-444dfb1a42da3ecc0dde
primary,H2,rgb,0,head,910002,1010002,True,309,dwell_complete,withheld-source-444dfb1a42da3ecc0dde
primary,H2,rgb,0,head,910003,1010003,True,416,dwell_complete,withheld-source-444dfb1a42da3ecc0dde
primary,H2,rgb,0,head,910004,1010004,True,386,dwell_complete,withheld-source-444dfb1a42da3ecc0dde
primary,H2,rgb,0,head,910005,1010005,True,610,dwell_complete,withheld-source-444dfb1a42da3ecc0dde
primary,H2,depth,0,head,910001,1010001,True,840,dwell_complete,withheld-source-597e2781ed787ee375ec
primary,H2,depth,0,head,910002,1010002,True,838,dwell_complete,withheld-source-597e2781ed787ee375ec
